ID,NAME_LAT,population,russian_lang_pct,ukrainian_lang_pct,unrest,pct_russian
1,Avtonomna Respublika Krym,2033.7,99.7,40.4,4,58.5
6,Zhytomyrska,1389.5,81.3,97.8,0,5
4,Dnipropetrovska,3567.6,93.7,82.5,1,17.6
2,Vinnytska,1772.4,86.2,98.8,0,3.8
27,Sevastopol,379.5,99.7,29.6,4,71.6
26,Kyiv,2611.3,92,85.8,0,13.1
25,Chernihivska,1245.3,88.8,94.4,0,5
24,Chernivetska,922.8,91.5,98.5,0,4.1
23,Cherkaska,1402.9,88,98.3,0,5.4
22,Khmelnytska,1430.8,84,99.1,0,3.6
21,Khersonska,1175.1,91.6,87,1,14.1
20,Kharkivska,2914.2,95.6,74.1,2,25.6
18,Sumska,1299.7,89.6,92.4,0,9.4
16,Poltavska,1630.1,87.8,97.1,0,7.2
15,Odeska,2469,97,71.6,1,20.7
14,Mykolaivska,1264.7,93.7,82.4,1,14.1
12,Luhanska,2546.2,98.2,50.4,3,39
11,Kirovohradska,1133.1,87.3,96.7,0,7.5
10,Kyivska,1827.9,87.6,98.4,0,6
8,Zaporizka,1929.2,95.3,68.8,1,24.7
13,Lvivska,2626.5,87.8,99.6,0,3.6
19,Ternopils'ka,1142.4,80.3,99.9,0,1.2
17,Rivnenska,1173.3,83.2,99.6,0,2.57
3,Volynska,1060.7,85.6,99.7,0,2.4
5,Donetska,4841.1,98.6,41.2,3,38.2
9,Ivano-Frankivska,1409.8,86,99.8,0,1.8
7,Zakarpatska,1258.3,91.6,99.2,0,2.5
