NAME_LAT,obl,urban,turnout,untru,Gritsenko,Litvin,Simonenko,Timoshenko,Tigipko,Tyagnibok,Yushchenko,Yanukovich_ratio,Yanukovich,Yatsenyuk,agall,ukrlan,ruslan,ukrpop,ruspop,physical_dist,rail_dist,auto_dist,pop,sqkm,pop2013,citypop2013,ruralpop2013,pop2013average,Population,citypop2013average,ruralpop2013average,pctprofit,Distance,Russian_ratio,Area,Density,Salary,distance_100,density_100,salary_100,population_100,Activism_ratio,Russian_ratio2,ruspop2,cap_arm._first_war,cap_art._first_war,cap_roc._first_war,lost_air._first_war,lost_arm._first_war,lost_art._first_war,lost_roc._first_war,cap_arm._second_war,cap_art._second_war,cap_roc._second_war,lost_air._second_war,lost_arm._second_war,lost_art._second_war,lost_roc._second_war,lost_no_air_all
Alchevska,2,1,0.712816811,0.013412108,0.003053787,0.004434896,0.034573774,0.070497967,0.106130592,0.002025627,0.006199647,0.705317272,70.5317272,0.022389319,0.024031305,0.153,0.836,0.516,0.447,636,772,748,118611,49.01,110600,110600,0,110980,110980,110980,0,61.4,748,0.836,49.01,2420.138747,3172,0.748,0.242013875,0.3172,0.11098,0.712816811,0.698896,0.199809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amvrosiivskyi,1,0,0.751436631,0.006222191,0.002363737,0.008690211,0.062708565,0.028747219,0.057112069,0.001320912,0.005040323,0.7878198,78.78198,0.021204116,0.010775862,0.435,0.558,0.71,0.262,651,926,794,54939,1500,45177,23773,21404,45343,45343,23843,21500,62.1,794,0.558,1500,36.626,2522,0.794,0.0036626,0.2522,0.045343,0.751436631,0.311364,0.068644,21,1,0,1,54,0,3,0,0,0,0,0,0,0,57
Antratsytivskyi,2,0,0.755038065,0.008600237,0.001383946,0.005041518,0.049624357,0.046164492,0.05076117,0.001433373,0.006969158,0.799871491,79.9871491,0.017497034,0.007117438,0.465,0.531,0.628,0.357,666.71,NA,802.41,30905,1700,30717,16798,13919,30881,30881,16873,14008,66.9,802.41,0.531,1700,18.17941176,2117,0.80241,0.001817941,0.2117,0.030881,0.755038065,0.281961,0.127449,1,5,1,0,10,1,4,0,0,0,0,0,0,0,15
Antratsytska,2,1,0.724513048,0.00861679,0.002283449,0.003812929,0.03175287,0.03186058,0.048124771,0.001055557,0.007001142,0.835419315,83.5419315,0.016867366,0.009349217,0.139,0.837,0.496681416,0.466814159,673.5,NA,797.61,63404,61.32,77346,75853,1493,77604,77604,76095,1509,56.2,797.61,0.837,61.32,1033.985649,3485,0.79761,0.103398565,0.3485,0.077604,0.724513048,0.700569,0.217915459,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemivska,1,1,0.733695086,0.0100451,0.003295802,0.005030435,0.024174473,0.040290788,0.05724288,0.001592708,0.006938531,0.79577065,79.577065,0.02836913,0.015107074,0.352,0.636,0.694,0.275,578,789,672,113785,74,103609,103609,0,103793,103793,103793,0,68.8,672,0.636,74,1537.635135,3665,0.672,0.153763514,0.3665,0.103793,0.733695086,0.404496,0.075625,0,0,0,0,2,0,0,0,0,0,0,2,1,0,5
Artemivskyi,1,0,0.731651861,0.011237985,0.002926935,0.006179085,0.029955915,0.03837537,0.044337645,0.00180675,0.01170774,0.801944063,80.1944063,0.02811303,0.0108405,0.722,0.262,0.787,0.184,578,789,672,54065,1770,44185,14331,29854,44472,44472,14400,30072,60.7,672,0.262,1770,30.54519774,3313,0.672,0.00305452,0.3313,0.044472,0.731651861,0.068644,0.033856,1,0,0,0,9,1,0,53,4,0,0,88,1,0,99
Avdiivska,1,1,0.738280147,0.006359376,0.002821077,0.006646266,0.043368079,0.040212298,0.081715597,0.001721335,0.006598451,0.746868127,74.6868127,0.034283255,0.019125944,0.125,0.872,0.635,0.337,586,844,745,37237,29,35023,35023,0,35074,35074,35074,0,65,745,0.872,29,1284.034483,4083,0.745,0.128403448,0.4083,0.035074,0.738280147,0.760384,0.113569,0,0,0,0,5,0,0,1,2,0,0,30,2,0,37
Bilokurakynskyi,2,0,0.733948636,0.015308912,0.003358588,0.014996485,0.10560025,0.112395532,0.060532688,0.002343201,0.011247364,0.613762399,61.3762399,0.02929001,0.012575178,0.914,0.084,0.907,0.085,588.82,NA,724.56,19653,1435.81,19520,7623,11897,19578,19578,7665,11913,83.5,724.56,0.084,1435.81,13.6877442,2117,0.72456,0.001368774,0.2117,0.019578,0.733948636,0.007056,0.007225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilovodskyi,2,0,0.808243355,0.013615928,0.001412974,0.01194605,0.102119461,0.067501606,0.07790623,0.001991008,0.010276172,0.658381503,65.8381503,0.021836866,0.011368015,0.842,0.156,0.878,0.112,663.47,NA,768.03,24341,1596.96,24241,8177,16064,24265,24265,8172,16093,73.4,768.03,0.156,1596.96,15.24208496,2239,0.76803,0.001524208,0.2239,0.024265,0.808243355,0.024336,0.012544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briankivska,2,1,0.657541428,0.01147433,0.002253267,0.004402538,0.061046209,0.074877804,0.058654279,0.00159462,0.007522446,0.737754359,73.7754359,0.018788782,0.014628904,0.14,0.857,0.549,0.427,625.17,NA,752.13,54850,63.54,53013,53013,0,53324,53324,53324,0,78.6,752.13,0.857,63.54,863.235757,3004,0.75213,0.086323576,0.3004,0.053324,0.657541428,0.734449,0.182329,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
